White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
653910,1524124,40970,22256,388339,50567,48953,50415,26771,20162,11966,11455,37398,63936,53638,47196,20938,25925,18075,373723,118280,45459,North Dakota,96037,76528,67281,34821,421617,13461,2019
9452650,23378200,23544,1467331,5732207,686672,690188,752389,445598,320672,165784,157159,420833,794615,750102,793376,330477,482200,242972,5956893,1565066,899535,Ohio,1404148,1451339,1187641,612935,6649652,279859,2019
2865785,7913942,316929,287414,1962477,251083,262753,280191,158202,115425,58121,60870,151082,271492,265507,249998,97877,144912,74273,1994494,478195,240996,Oklahoma,501516,452720,368463,192486,2285551,94758,2019
3523853,8435474,50417,77918,2089676,223364,235390,254889,149173,100657,53642,59430,153074,296394,298191,259855,110278,166037,85687,2128061,663970,407534,Oregon,578846,511021,467259,214550,2283417,208250,2019
10193792,25603978,27088,1454753,6272527,695661,713446,764806,458412,345074,164202,163009,469343,858956,845892,895407,372193,541552,324829,6529462,1904992,1166212,Pennsylvania,1520179,1605639,1353195,710194,7098460,457810,2019
833690,2118722,3341,78143,517221,54802,49154,62573,37046,34667,20314,13682,40171,76317,71863,73453,31904,45999,26755,542140,168904,105004,Rhode Island,124433,135828,107381,53019,581878,37351,2019
3434467,10297428,18971,1362917,2485001,289537,300712,334285,187766,151792,70963,69665,180790,343711,327046,352888,138233,202142,86872,2663713,697779,401356,South Carolina,628604,635042,571319,277347,2937279,94143,2019
743764,1769318,75809,20866,449458,58859,59654,62453,34303,23673,9978,10433,37277,57689,56731,58677,22824,35549,19299,435201,129287,54024,South Dakota,106071,96689,90443,44057,486079,13603,2019
5272910,13658348,20431,1141304,3329115,407026,405373,443911,254442,180793,94310,93037,256320,482585,452293,460144,184527,254094,117365,3500059,910598,509103,Tennessee,849159,872195,680190,341410,3898721,129211,2019
21273326,57991762,144993,3553922,14385762,1981755,1995392,2184780,1234704,842652,416269,403366,1164413,2143433,2099228,1689099,656257,929542,398261,14610119,3998652,2045420,Texas,3959419,3556845,2259341,1081125,15555178,1473099,2019
585117,1247978,2928,9435,309164,29021,31204,31922,21412,21749,10622,9426,23075,40598,36051,44207,20329,30154,14294,314825,108495,71607,Vermont,70815,78203,75354,35553,330328,8989,2019
2799527,6411916,35368,36918,1610671,245883,258067,267584,158774,96679,51277,54860,161242,250777,221376,147856,63257,90067,36573,1595287,472724,217590,Utah,443692,329369,219213,109412,1585336,107195,2019
5714646,17071038,23388,1659908,4201799,499906,504065,543494,310140,245856,111890,113471,333940,595190,579465,571897,227238,316585,151987,4333720,1409857,1021007,Virginia,1128152,1095894,809641,396708,4247050,570682,2019
5651091,15229786,103882,305924,3807572,455283,456737,477450,273495,185782,90482,99047,286293,586410,577600,478059,198063,284494,130637,3807321,1277074,755955,Washington,1032245,925768,736308,340740,3918899,735106,2019
1668004,3584294,3601,65925,885861,91548,98494,104920,63856,45907,21490,22188,62658,112648,98619,121475,50927,83426,42110,906286,175798,109097,West Virginia,219899,226692,217526,107764,1148434,14710,2019
4963354,11644868,54577,374747,2892804,327258,344543,368646,222965,157162,84315,83125,219135,375461,361854,415388,165324,243633,126113,2929630,889809,432662,Wisconsin,714436,719293,597951,295832,3236551,171640,2019
525860,1157518,13774,7116,296005,33098,40471,38966,21654,16957,8720,6345,22701,38130,38519,37601,15261,24066,9626,282754,77234,41193,Wyoming,73671,63810,60674,28489,326143,5387,2019
2054764,6387388,3082,395439,1515994,115403,153900,189662,113769,94691,45827,49848,128859,203972,181558,215519,87481,125425,86828,1677700,477423,184217,Puerto Rico,395192,412923,366492,226345,1959320,6756,2019
9044059,25343642,32600,1790212,6217305,742404,752856,823249,496170,333355,167397,164804,496892,891614,856709,840754,341772,474936,254020,6454516,2046375,1233908,Illinois,1641179,1602369,1182015,609326,6576859,722503,2019
6131699,21234846,42316,3390968,5170126,639713,678013,758925,426378,319772,149339,150527,414534,750041,708555,685356,254428,359702,144580,5447297,1505330,899601,Georgia,1401934,1397014,933722,444890,5709463,446363,2019
1596918,3574130,22867,12708,898044,115837,125134,129492,78892,46651,24526,24532,71004,120513,114287,104642,47322,67465,28150,889021,232143,117369,Idaho,225804,202347,174120,86347,988198,28444,2019
341211,2831744,6129,26923,707855,85335,84466,82606,47780,29917,15962,18120,55018,100380,95401,87409,33787,56909,37668,708017,228743,116252,Hawaii,185133,168179,153238,78564,770690,700444,2019
5571899,13464438,18416,643105,3319907,414553,413125,469734,270009,194944,98094,97731,272014,457768,428551,446115,177901,254020,127901,3412312,843054,440981,Indiana,825768,827420,637375,319196,3880763,173820,2019
2835536,6310140,11837,129335,1570384,190606,205431,204137,121656,93030,45744,46480,124982,205568,194731,210384,87007,121195,76742,1584686,450407,203275,Iowa,392097,358447,311643,165190,1779558,78163,2019
2436902,5826628,23860,167237,1446287,183236,196962,203308,116795,82065,48220,42190,122457,191948,185425,181715,77404,113397,63201,1467027,444737,239286,Kansas,362905,327291,274666,140129,1528990,89471,2019
3873691,8935346,8326,363167,2198205,273130,264938,292075,171682,123322,65120,56020,172944,303157,273535,295568,126571,175756,76639,2269468,490376,315973,Kentucky,556896,562400,454932,222988,2659499,77299,2019
2874784,9297588,28561,1504017,2268202,292977,298089,317155,176665,125047,66945,64591,167124,326337,317085,295758,120832,186486,75360,2380592,538243,282176,Louisiana,606785,544724,446721,220113,2743489,82477,2019
1263287,2688424,9419,21983,656330,62813,64874,72870,45796,32413,15806,16485,42003,82168,82063,102302,42403,66194,34653,687882,218600,124080,Maine,153615,176429,169556,81769,755179,15545,2019
3296909,12091360,19164,1830059,2928013,358346,359505,390637,223799,157519,79416,72605,219995,405838,414737,413230,171566,235722,113547,3117667,989404,805801,Maryland,786924,795954,564533,281807,2918188,388647,2019
5305385,13785006,17875,543629,3345556,355066,355521,395607,245583,205810,98297,98874,287169,502409,490198,483588,183266,274763,159934,3546947,1318677,997802,Massachusetts,849654,894405,676157,336202,3224247,475893,2019
7812165,19973714,57785,1371069,4915905,567914,578688,617636,378584,274634,140494,140934,393346,689462,612555,701709,280799,416965,213693,5070952,1354102,826734,Michigan,1174029,1252699,1041813,510903,5663199,329308,2019
4627588,11279264,57414,370291,2804216,349621,361330,372737,218981,144377,69908,67472,207994,381052,384526,386481,155578,214875,111591,2835416,1013006,494289,Minnesota,730399,672810,533366,276534,2829668,288383,2019
2660228,7130574,9052,396745,1743777,180598,193466,216194,137174,101496,51129,47527,141283,222301,222208,258972,108618,147757,88523,1821510,601853,449126,Connecticut,426967,480565,352559,187950,1786876,167548,2019
16010079,42955474,59558,3441062,10498005,1131148,1123648,1258247,718912,494897,282889,259379,724115,1396238,1371822,1475419,579445,842896,561065,10979732,3155725,1785444,Florida,2612250,2708234,2463083,1474050,12304613,615961,2019
3326375,9806370,23265,1319551,2369611,286597,294475,317645,186880,139791,69330,67217,181192,325338,312065,321296,138672,193245,84684,2533574,580386,339967,Alabama,605739,609391,505557,264071,2897235,68021,2019
469771,1463090,115544,22551,380433,50891,52692,49737,26429,20102,8676,10342,28618,60357,57621,48858,18457,27455,6665,351112,92563,56715,Alaska,93035,87687,61658,22265,402518,53601,2019
5701810,14557434,332273,343729,3620935,427707,445512,486413,280016,203530,103445,97344,290210,524185,477409,445006,181349,257736,130805,3657782,995646,566445,Arizona,898533,853081,751831,424605,4076978,255889,2019
2315020,6035608,17216,467468,1474705,183327,192289,202376,121020,84426,42332,38495,117083,200273,186329,192477,81806,111766,58572,1543099,330944,169888,Arkansas,377184,362384,303422,162243,1817960,58907,2019
23484958,79024446,321112,2282144,19640794,2377839,2380762,2629510,1502953,1044496,532592,523534,1582665,3085132,2950920,2461936,995049,1336109,717300,19871429,6290254,3565640,California,5298911,4974817,3391856,1725842,20765265,6021306,2019
4822379,11517472,57578,240538,2904955,327302,344202,366422,218394,147135,75388,68318,236632,459622,448005,357955,146147,207738,88574,2853781,1125813,642187,Colorado,805306,704792,524969,231835,2734416,196217,2019
659719,1947528,4353,219418,470288,54261,54150,59911,35624,25142,15040,11675,30650,65209,63203,66092,27196,43599,18800,503476,142215,94246,Delaware,113704,118670,112847,57991,533357,37020,2019
300058,1411498,1886,320704,334355,45263,35558,31821,15259,22492,11310,8549,30352,82476,81899,37365,13201,19269,11311,371394,145691,172543,District of Columbia,108905,74493,50587,25639,259614,28912,2019
