year,state,candidate,party,outcome
1980,Kansas,Bob Dole,republican,1.0
1980,Kansas,John Simpson,democrat,0.0
1980,Kentucky,Wendell H. Ford,democrat,1.0
1980,Kentucky,Mary Louise Foust,republican,0.0
1980,Louisiana,Naomi Bracey,other,0.0
1980,Louisiana,Louis Woody Jenkins,democrat,0.0
1980,Louisiana,Russell B. Long,democrat,1.0
1980,Louisiana,Jerry C. Bardwell,republican,0.0
1980,Louisiana,Robert Max Ross,republican,0.0
1980,Maryland,Charles McC. Mathias Jr. ,republican,1.0
1980,Maryland,Edward T. Conroy,democrat,0.0
1980,Missouri,Gene McNary,republican,0.0
1980,Missouri,Thomas F. Eagleton,democrat,1.0
1980,Missouri,Martha Pettis,other,0.0
1980,Nevada,Allen Hacker,other,0.0
1980,Nevada,Paul Laxalt,republican,1.0
1980,Nevada,Mary Gojack,democrat,0.0
1980,New Hampshire,Warren Rudman,republican,1.0
1980,New Hampshire,John A. Durkin,democrat,0.0
1980,New York,Richard Savadel,other,0.0
1980,New York,Thomas Soto,other,0.0
1980,New York,William R. Scott,other,0.0
1980,New York,Victor A. Nieto,other,0.0
1980,New York,Elizabeth Holtzman,democrat,1.0
1980,New York,Jacob K. Javits,other,0.0
1980,North Carolina,F. W. (Rick) Pasotto,other,0.0
1980,North Carolina,Robert Morgan,democrat,0.0
1980,North Carolina,John P. East,republican,1.0
1980,North Carolina,Rebecca Finch,other,0.0
1980,Ohio,James E. Betts,republican,0.0
1980,Ohio,John E. Powers,other,0.0
1980,Ohio,John Glenn,democrat,1.0
1980,Oklahoma,Robert Murphy,other,0.0
1980,Oklahoma,Don Nickles,republican,1.0
1980,Oklahoma,Charles Nesbitt,other,0.0
1980,Oklahoma,Paul E. Trent,other,0.0
1980,Oklahoma,Andy Coats,democrat,0.0
1980,Oregon,Ted Kulongoski,democrat,0.0
1980,Oregon,Bob Packwood,republican,1.0
1980,Oregon,Tonie Nathan,other,0.0
1980,Pennsylvania,Pete Flaherty,democrat,0.0
1980,Pennsylvania,Linda Mohrbacher,other,0.0
1980,Pennsylvania,Lee Frissell,other,0.0
1980,Pennsylvania,Arlen Specter,republican,1.0
1980,Pennsylvania,Frank Kinces,other,0.0
1980,Pennsylvania,David K. Walter,other,0.0
1980,South Carolina,Marshall Mays,republican,0.0
1980,South Carolina,Ernest Fritz Hollings,democrat,1.0
1980,South Dakota,James Abdnor,republican,1.0
1980,South Dakota,George McGovern,democrat,0.0
1980,South Dakota,Wayne Peterson,other,0.0
1980,Utah,Bruce Bangerter,other,0.0
1980,Utah,Jake Garn,republican,1.0
1980,Utah,George M. Batchelor,other,0.0
1980,Utah,Dan Berman,democrat,0.0
1980,Vermont,Stewart M. Ledbetter,republican,0.0
1980,Vermont,Anthony N. Doria,other,0.0
1980,Vermont,Patrick J. Leahy,democrat,1.0
1980,Vermont,Earl S. Gardiner,other,0.0
1980,Washington,Warren G. Magnuson,democrat,0.0
1980,Washington,Slade Gorton,republican,1.0
1980,Wisconsin,Robert W. Kasten Jr.,republican,1.0
1980,Wisconsin,Gaylord A. Nelson,democrat,0.0
1980,Wisconsin,Susan L. Hagen,other,0.0
1980,Wisconsin,Bervin J. Larson,other,0.0
1980,Wisconsin,James P. Wickstrom,other,0.0
1982,Arizona,Dennis DeConcini,democrat,1.0
1982,Arizona,Pete Dunn,republican,0.0
1982,Arizona,"Randall ""Pete Bardo"" Clamons",other,0.0
1982,California,"Theresa ""Tena"" Dietrich",other,0.0
1982,California,David Wald,other,0.0
1982,California,Joseph Fuhrig,other,0.0
1982,California,"Edmund G. Brown, Jr.",democrat,0.0
1982,California,Pete Wilson,republican,1.0
1982,Connecticut,Anthony Toby Moffett,democrat,0.0
1982,Connecticut,James A. Lewis,other,0.0
1982,Connecticut,"Lucien P. DiFazio, Jr.",other,0.0
1982,Connecticut,"Lowell P. Weicker, Jr.",republican,1.0
1982,Delaware,David N. Levinson,democrat,0.0
1982,Delaware,"William V. Roth, Jr.",republican,1.0
1982,Delaware,Charles A. Baker,other,0.0
1982,Delaware,Lawrence D. Sullivan,other,0.0
1982,Florida,Van B. Poole,republican,0.0
1982,Florida,Lawton Chiles,democrat,1.0
1982,Hawaii,Spark Matsunaga,democrat,1.0
1982,Hawaii,E. Floyd Bernier-Nachtwey,other,0.0
1982,Hawaii,Clarence J. Brown,republican,0.0
1982,Indiana,Floyd J. Fithian,democrat,0.0
1982,Indiana,Richard G. Lugar,republican,1.0
1982,Indiana,Raymond James,other,0.0
1982,Maine,David F. Emery,republican,0.0
1982,Maine,George J. Mitchell,democrat,1.0
1982,Maryland,Paul S. Sarbanes,democrat,1.0
1982,Maryland,Lawrence J. Hogan,republican,0.0
1982,Massachusetts,Howard S. Katz,other,0.0
1982,Massachusetts,Ray Shamie,republican,0.0
1982,Massachusetts,Edward M. Kennedy,democrat,1.0
1982,Michigan,"Donald W. Riegle, Jr.",democrat,1.0
1982,Michigan,Steve Beumer,other,0.0
1982,Michigan,Helen Halyard,other,0.0
1982,Michigan,Daniel Eller,other,0.0
1982,Michigan,Philip E. Ruppe,republican,0.0
1982,Michigan,Bette Erwin,other,0.0
1982,Minnesota,Bill Onasch,other,0.0
1982,Minnesota,Mark Dayton,democrat,0.0
1982,Minnesota,Jeffrey M. Miller,other,0.0
1982,Minnesota,Dave Durenberger,republican,1.0
1982,Minnesota,Fred G. Hewitt,other,0.0
1982,Mississippi,John C. Stennis,democrat,1.0
1982,Mississippi,Haley Barbour,republican,0.0
1982,Missouri,Harriett Woods,democrat,0.0
1982,Missouri,John C. Danforth,republican,1.0
1982,Montana,Larry Williams,republican,0.0
1982,Montana,John Melcher,democrat,1.0
1982,Montana,Larry Dodge,other,0.0
1982,Nebraska,Edward Zorinsky,democrat,1.0
1982,Nebraska,Jim Keck,republican,0.0
1982,Nebraska,Virginia Walsh,other,0.0
1982,Nevada,Chic Hecht,republican,1.0
1982,Nevada,Howard Cannon,democrat,0.0
1982,New Jersey,Millicent Fenwick,republican,0.0
1982,New Jersey,Rose Zeidwerg Monyek,other,0.0
1982,New Jersey,Martin E. Wendelken,other,0.0
1982,New Jersey,Robert T. Bastien,other,0.0
1982,New Jersey,Frank R. Lautenberg,democrat,1.0
1982,New Jersey,Henry Koch,other,0.0
1982,New Jersey,Claire Moriarty,other,0.0
1982,New Jersey,Julius Levin,other,0.0
1982,New Mexico,Harrison H. Schmitt,republican,0.0
1982,New Mexico,Jeff Bingaman,democrat,1.0
1982,New York,Steven Wattenmaker,other,0.0
1982,New York,James j. McKeown,other,0.0
1982,North Dakota,Gene Knorr,republican,0.0
1982,North Dakota,Anna B. Bourgois,other,0.0
1982,North Dakota,Quentin N. Burdick,democrat,1.0
1982,Ohio,Philip Herzing,other,0.0
1982,Ohio,Paul E. Pfeifer,republican,0.0
1982,Ohio,Howard M. Metzenbaum,democrat,1.0
1982,Ohio,Alicia Merel,other,0.0
1982,Pennsylvania,Liane Norman,other,0.0
1982,Pennsylvania,Kipp Miriam Dawson,other,0.0
1982,Pennsylvania,Cyril H. Wecht,democrat,0.0
1982,Pennsylvania,John Heinz,republican,1.0
1982,Pennsylvania,Barbara I. Karkutt,other,0.0
1982,Rhode Island,John H. Chafee,republican,1.0
1982,Rhode Island,Julius C. Michaelson,democrat,0.0
1982,Tennessee,Robin Beard,republican,0.0
1982,Tennessee,Jim Sasser,democrat,1.0
1982,Texas,Lineaus Hooper Lorette,other,0.0
1982,Texas,Lloyd Bentsen,democrat,1.0
1982,Texas,John E. Ford,other,0.0
1982,Texas,Jim Collins,republican,0.0
1982,Utah,Lawrence R. Kauffman,other,0.0
1982,Utah,George Mercier,other,0.0
1982,Utah,Orrin G. Hatch,republican,1.0
1982,Utah,Ted Wilson,democrat,0.0
1982,Vermont,Ion Laskaris,other,0.0
1982,Vermont,Robert T. Stafford,republican,1.0
1982,Vermont,Jerry Levy,other,0.0
1982,Vermont,Bo Adlerbert,other,0.0
1982,Vermont,Michael Edward Hackett,other,0.0
1982,Vermont,James A. Guest,democrat,0.0
1982,Virginia,"Paul S. Trible, Jr.",republican,1.0
1982,Virginia,Richard J. (Dick) Davis,democrat,0.0
1982,Washington,King Lysen,other,0.0
1982,Washington,Jesse Chiang,other,0.0
1982,Washington,Doug Jewett,republican,0.0
1982,Washington,Henry M. Jackson,democrat,1.0
1982,West Virginia,William B. Hovland,other,0.0
1982,West Virginia,Cleve Benedict,republican,0.0
1982,West Virginia,Robert C. Byrd,democrat,1.0
1982,Wisconsin,Scott McCallum,republican,0.0
1982,Wisconsin,William Osborne Hart,other,0.0
1982,Wisconsin,William Proxmire,democrat,1.0
1982,Wisconsin,George Liljenfeldt,other,0.0
1982,Wisconsin,Sanford G. Knapp,other,0.0
1982,Wyoming,Malcolm Wallop,republican,1.0
1982,Wyoming,Rodger McDaniel,democrat,0.0
1984,Alabama,Howell Heflin,democrat,1.0
1984,Alabama,S. D. (Yana) Davis,other,0.0
1984,Alabama,Albert Lee Smith,republican,0.0
1984,Alaska,John E. Havelock,democrat,0.0
1984,Alaska,Ted Stevens,republican,1.0
1984,Arkansas,David Pryor,democrat,1.0
1984,Arkansas,Ed Bethune,republican,0.0
1984,Colorado,"William L. ""Bill"" Armstrong",republican,1.0
1984,Colorado,David Martin,other,0.0
1984,Colorado,Nancy Dick,democrat,0.0
1984,Colorado,Craig Green,other,0.0
1984,Colorado,Earl Higgerson,other,0.0
1984,Delaware,Joseph R. Biden Jr.,democrat,1.0
1984,Delaware,John M. Burris,republican,0.0
1984,Georgia,Mike Hicks,republican,0.0
1984,Georgia,Sam Nunn,democrat,1.0
1984,Idaho,Peter M. Busch,democrat,0.0
1984,Idaho,Donald B. Billings,other,0.0
1984,Idaho,James A. McClure,republican,1.0
1984,Illinois,Nelson Gonzalez,other,0.0
1984,Illinois,Charles H. Percy,republican,0.0
1984,Illinois,Steven I. Givot,other,0.0
1984,Illinois,Paul Simon,democrat,1.0
1984,Illinois,Marjorie H. Pries,other,0.0
1984,Illinois,Ishmael Flory,other,0.0
1984,Iowa,Roger W. Jepsen,republican,0.0
1984,Iowa,Garry De Young,other,0.0
1984,Iowa,Tom Harkin,democrat,1.0
1984,Kansas,James R. Maher,democrat,0.0
1984,Kansas,Freda H. Steele,other,0.0
1984,Kansas,Marian Ruck Jackson,other,0.0
1984,Kansas,Douglas N. Merritt,other,0.0
1984,Kansas,Lucille Bieger,other,0.0
1984,Kansas,Nancy Landon Kassebaum,republican,1.0
1984,Kentucky,Walter (Dee) Huddleston,democrat,0.0
1984,Kentucky,Dave Welters,other,0.0
1984,Kentucky,Mitch McConnell,democrat,1.0
1984,Louisiana,J. Bennett Johnston Jr.,democrat,1.0
1984,Maine,P. Ann Stoddard,other,0.0
1984,Maine,William S. Cohen,republican,1.0
1984,Maine,Elizabeth H. Mitchell,democrat,0.0
1984,Massachusetts,John F. Kerry,democrat,1.0
1984,Massachusetts,Raymond Shamie,republican,0.0
1984,Michigan,Lynn Johnston,other,0.0
1984,Michigan,Max Dean,other,0.0
1984,Michigan,Arthur Richard Tisch,other,0.0
1984,Michigan,Carl Levin,democrat,1.0
1984,Michigan,Samuel L. Webb,other,0.0
1984,Michigan,William Roundtree,other,0.0
1984,Michigan,Helen Meyers,other,0.0
1984,Michigan,Fred Mazelis,other,0.0
1984,Michigan,Jack Lousma,republican,0.0
1984,Minnesota,Joan Anderson Growe,democrat,0.0
1984,Minnesota,Richard Putman,other,0.0
1984,Minnesota,Eleanor Garcia,other,0.0
1984,Minnesota,Jeffrey M. Miller,other,0.0
1984,Minnesota,Rudy Boschwitz,republican,1.0
1984,Mississippi,William F. Winter,democrat,0.0
1984,Mississippi,Thad Cochran,republican,1.0
1984,Montana,Neil Halprin,other,0.0
1984,Montana,Max Baucus,democrat,1.0
1984,Montana,Chuck Cozzens,republican,0.0
1984,Nebraska,J. J. Exon,democrat,1.0
1984,Nebraska,Nancy Hoch,republican,0.0
1984,New Hampshire,Norman E. D'Amours,democrat,0.0
1984,New Hampshire,Gordon J. Humphrey,republican,1.0
1984,New Hampshire,Saunder H. Primack,other,0.0
1984,New Jersey,Harold F. Leiendecker,other,0.0
1984,New Jersey,Bill Bradley,democrat,1.0
1984,New Jersey,James T. Hagen,other,0.0
1984,New Jersey,Mary V. Mochary,republican,0.0
1984,New Jersey,Jasper C. Gould,other,0.0
1984,New Jersey,Julius Levin,other,0.0
1984,New Jersey,Priscilla Schenk,other,0.0
1984,New Mexico,Pete V. Domenici,republican,1.0
1984,New Mexico,Judith A. Pratt,democrat,0.0
1984,North Carolina,Jesse Helms,republican,1.0
1984,North Carolina,Kate Daher,other,0.0
1984,North Carolina,Bobby Yates Emory,other,0.0
1984,North Carolina,James B. (Jim) Hunt Jr.,democrat,0.0
1984,Oklahoma,David Boren,democrat,1.0
1984,Oklahoma,Robert T. Murphy,other,0.0
1984,Oklahoma,Will E. Bill Crozier,republican,0.0
1984,Oregon,Mark O. Hatfield,republican,1.0
1984,Oregon,Margie Hendriksen,democrat,0.0
1984,Rhode Island,Barbara M. Leonard,republican,0.0
1984,Rhode Island,Claiborne deB. Pell,democrat,1.0
1984,South Carolina,Strom Thurmond,republican,1.0
1984,South Carolina,Melvin Purvis,democrat,0.0
1984,South Carolina,Stephen Davis,other,0.0
1984,South Dakota,George V. Cunningham,democrat,0.0
1984,South Dakota,Larry Pressler,republican,1.0
1984,Tennessee,Victor Ashe,republican,0.0
1984,Tennessee,Albert Gore Jr.,democrat,1.0
1984,Tennessee,Khalil-Ullah Al-Muhaymin,other,0.0
1984,Tennessee,Ed McAteer,other,0.0
1984,Texas,Lloyd Doggett,democrat,0.0
1984,Texas,Phil Gramm,republican,1.0
1984,Virginia,"Edythe C. ""Edie"" Harrison",democrat,0.0
1984,Virginia,John W. Warner,republican,1.0
1984,West Virginia,"Mary E. ""Joan"" Radin",other,0.0
1984,West Virginia,John R. Raese,republican,0.0
1984,West Virginia,Jay Rockefeller,democrat,1.0
1984,Wyoming,Victor A. Ryan,democrat,0.0
1984,Wyoming,Al Simpson,republican,1.0
1986,Alabama,Richard Shelby,democrat,1.0
1986,Alabama,Jeremiah Denton,republican,0.0
1986,Alaska,Chuck House,other,0.0
1986,Alaska,Frank H. Murkowski,republican,1.0
1986,Alaska,Glenn Olds,democrat,0.0
1986,Arizona,Richard Kimball,democrat,0.0
1986,Arizona,John McCain,republican,1.0
1986,Arkansas,Asa Hutchinson,republican,0.0
1986,Arkansas,Dale Bumpers,democrat,1.0
1986,California,"Edward B. ""Ed"" Vallen",other,0.0
1986,California,Alan Cranston,democrat,1.0
1986,California,Breck McKinley,other,0.0
1986,California,Paul Kangas,other,0.0
1986,California,Ed Zschau,republican,0.0
1986,Colorado,Henry John Olshaw,other,0.0
1986,Colorado,Ken Kramer,republican,0.0
1986,Colorado,Timothy E. Wirth,democrat,1.0
1986,Colorado,Michael R. Chamberlain,other,0.0
1986,Colorado,Michael Martin Bush,other,0.0
1986,Colorado,Calvin G. Dodge,other,0.0
1986,Connecticut,"Edward J. McCallum, Jr.",other,0.0
1986,Connecticut,Roger W. Eddy,republican,0.0
1986,Connecticut,Christopher J. Dodd,democrat,1.0
1986,Florida,Paula Hawkins,republican,0.0
1986,Florida,Bob Graham,democrat,1.0
1986,Georgia,Mack Mattingly,republican,0.0
1986,Georgia,Wyche Fowler Jr.,democrat,1.0
1986,Hawaii,Frank Hutchinson,republican,0.0
1986,Hawaii,Daniel K. Inouye,democrat,1.0
1986,Idaho,Steve Symms,republican,1.0
1986,Idaho,John V. Evans,democrat,0.0
1986,Illinois,Alan J. Dixon,democrat,1.0
1986,Illinois,Omari Musa,other,0.0
1986,Illinois,Donald M. Parrish Jr.,other,0.0
1986,Illinois,Elinar V. Dyhrkopp,other,0.0
1986,Illinois,Judy Koehler,republican,0.0
1986,Indiana,Jill Lynette Long,democrat,0.0
1986,Indiana,Dan Quayle,republican,1.0
1986,Indiana,Bradford L. Warren,other,0.0
1986,Indiana,Rockland R. Snyder,other,0.0
1986,Iowa,John Masters,other,0.0
1986,Iowa,Charles E. Grassley,republican,1.0
1986,Iowa,John O. Roehrick,democrat,0.0
1986,Kansas,Bob Dole,republican,1.0
1986,Kansas,Guy MacDonald,democrat,0.0
1986,Kentucky,Jackson M. Andrews,republican,0.0
1986,Kentucky,Wendell H. Ford,democrat,1.0
1986,Louisiana,W. Henson Moore,republican,0.0
1986,Louisiana,John B. Breaux,democrat,1.0
1986,Maryland,Linda Chavez,republican,0.0
1986,Maryland,Barbara A. Mikulski,democrat,1.0
1986,Missouri,Betty Shepherd,other,0.0
1986,Missouri,Christopher (Kit) Bond,republican,1.0
1986,Missouri,Harriett Woods,democrat,0.0
1986,Nevada,Jim Santini,republican,0.0
1986,Nevada,Harry Reid,democrat,1.0
1986,Nevada,Kent Cromwell,other,0.0
1986,New Hampshire,Warren B. Rudman,republican,1.0
1986,New Hampshire,Endicott Peabody,democrat,0.0
1986,New Hampshire,Bruce Valley,other,0.0
1986,New York,John Dyson,other,0.0
1986,New York,Mark Green,democrat,0.0
1986,New York,Micharl Shur,other,0.0
1986,New York,Frederick D. Newman,other,0.0
1986,North Carolina,Terry Sanford,democrat,1.0
1986,North Carolina,James T. (Jim) Broyhill,republican,0.0
1986,North Dakota,Anna Belle Bourgois,other,0.0
1986,North Dakota,Mark Andrews,republican,0.0
1986,North Dakota,Kent Conrad,democrat,1.0
1986,Ohio,John Glenn,democrat,1.0
1986,Ohio,Thomas N. Kindness,republican,0.0
1986,Oklahoma,Don Nickles,republican,1.0
1986,Oklahoma,James R. Jones,democrat,0.0
1986,Oregon,Bob Packwood,republican,1.0
1986,Oregon,Rick Bauman,democrat,0.0
1986,Pennsylvania,Lance S. Haver,other,0.0
1986,Pennsylvania,Bob Edgar,democrat,0.0
1986,Pennsylvania,Arlen Specter,republican,1.0
1986,South Carolina,Ray Hillyard,other,0.0
1986,South Carolina,Steven B. Vandervelde,other,0.0
1986,South Carolina,Henry D. McMaster,republican,0.0
1986,South Carolina,Ernest Fritz Hollings,democrat,1.0
1986,South Dakota,Thomas A. Daschle,democrat,1.0
1986,South Dakota,James Abdnor,republican,0.0
1986,Utah,Hugh A. Butler,other,0.0
1986,Utah,Craig S. Oliver,democrat,0.0
1986,Utah,"E. J. ""Jake"" Garn",republican,1.0
1986,Utah,Mary Zins,other,0.0
1986,Vermont,Dick Snelling,republican,0.0
1986,Vermont,Patrick Leahy,democrat,1.0
1986,Vermont,Jerry Levy,other,0.0
1986,Vermont,Anthony N. Doria,other,0.0
1986,Washington,Slade Gorton,republican,0.0
1986,Washington,Jill Fein,other,0.0
1986,Washington,Brock Adams,democrat,1.0
1986,Wisconsin,Eugene A. Hem,other,0.0
1986,Wisconsin,Peter Y. Taylor Sr.,other,0.0
1986,Wisconsin,Margo Storsteen,other,0.0
1986,Wisconsin,Edward R. Garvey,democrat,0.0
1986,Wisconsin,Robert W. Kasten Jr.,republican,1.0
1988,Arizona,Ed Finkelstein,other,0.0
1988,Arizona,Rick Tompkins,other,0.0
1988,Arizona,Keith DeGreen,republican,0.0
1988,Arizona,Dennis DeConcini,democrat,1.0
1988,California,Pete Wilson,republican,1.0
1988,California,M. Elizabeth Munoz,other,0.0
1988,California,Merton D. Short,other,0.0
1988,California,Leo McCarthy,democrat,0.0
1988,California,Jack Dean,other,0.0
1988,Connecticut,"Howard Avory Grayson, Jr.",other,0.0
1988,Connecticut,"Lowell P. Weicher, Jr.",republican,0.0
1988,Connecticut,Joe Lieberman,democrat,1.0
1988,Connecticut,Melissa M. Fisher,other,0.0
1988,Delaware,"William V. Roth, Jr.",republican,1.0
1988,Delaware,S. B. Woo,democrat,0.0
1988,Florida,Connie Mack,republican,1.0
1988,Florida,Buddy MacKay,democrat,0.0
1988,Hawaii,Ken Schoolland,other,0.0
1988,Hawaii,Spark Matsunaga,democrat,1.0
1988,Hawaii,Maria M. Hustace,republican,0.0
1988,Indiana,Jack Wickes,democrat,0.0
1988,Indiana,Richard G. Lugar,republican,1.0
1988,Maine,George J. Mitchell,democrat,1.0
1988,Maine,Jasper S. Wyman,republican,0.0
1988,Maryland,Alan L. Keyes,republican,0.0
1988,Maryland,Paul S. Sarbanes,democrat,1.0
1988,Massachusetts,Freda Lee Nason,other,0.0
1988,Massachusetts,Edward M. Kennedy,democrat,1.0
1988,Massachusetts,Joseph D. Malone,republican,0.0
1988,Massachusetts,Mary Fridley,other,0.0
1988,Michigan,Dick M. Jacobs,other,0.0
1988,Michigan,Jim Dunn,republican,0.0
1988,Michigan,Sally Bier,other,0.0
1988,Michigan,"Donald W. Riegle, Jr.",democrat,1.0
1988,Minnesota,Polly Mann,other,0.0
1988,Minnesota,Wendy Lyons,other,0.0
1988,Minnesota,Arlen Overvig,other,0.0
1988,Minnesota,Dave Durenberger,republican,1.0
1988,Minnesota,"Hubert H. ""Skip"" Humphrey III",other,0.0
1988,Minnesota,Derrick P. Grimmer,other,0.0
1988,Mississippi,Trent Lott,republican,1.0
1988,Mississippi,Wayne Dowdy,democrat,0.0
1988,Missouri,John C. Danforth,republican,1.0
1988,Missouri,John Guze,other,0.0
1988,Missouri,Jeremiah W. (Jay) Nixon,democrat,0.0
1988,Montana,Conrad Burns,republican,1.0
1988,Montana,John Melcher,democrat,0.0
1988,Nebraska,Bob Kerrey,democrat,1.0
1988,Nebraska,Ernie Chambers,other,0.0
1988,Nebraska,Dave Karnes,republican,0.0
1988,Nevada,Chic Hecht,republican,0.0
1988,Nevada,Richard H. Bryan,democrat,1.0
1988,Nevada,James Frye,other,0.0
1988,New Jersey,Joseph F. Job,other,0.0
1988,New Jersey,Frank R. Lautenberg,democrat,1.0
1988,New Jersey,Thomas A. Fiske,other,0.0
1988,New Jersey,Jerry Zeldin,other,0.0
1988,New Jersey,Peter M. Dawkins,republican,0.0
1988,New Mexico,Jeff Bingaman,democrat,1.0
1988,New Mexico,Bill Valentine,republican,0.0
1988,New York,William P. McMillen,other,0.0
1988,New York,Lydia Bayoneta,other,0.0
1988,New York,"James E. Harris, Jr.",other,0.0
1988,New York,Charlene Mitchell,other,0.0
1988,New York,Adelle R. Nathanson,other,0.0
1988,North Dakota,Quentin N. Burdick,democrat,1.0
1988,North Dakota,Earl Strinden,republican,0.0
1988,North Dakota,Kenneth C. Gardner,other,0.0
1988,Ohio,Howard M. Metzenbaum,democrat,1.0
1988,Ohio,George V Voinovich,republican,0.0
1988,Pennsylvania,Joe Vignola,democrat,0.0
1988,Pennsylvania,Sam Blancato,other,0.0
1988,Pennsylvania,John Heinz,republican,1.0
1988,Pennsylvania,Darcy Richardson,other,0.0
1988,Pennsylvania,Henry Haller III,other,0.0
1988,Pennsylvania,"Samuel Cross, Jr.",other,0.0
1988,Rhode Island,Richard A. Licht,democrat,0.0
1988,Rhode Island,John H. Chaffee,republican,1.0
1988,Tennessee,Jim Sasser,democrat,1.0
1988,Tennessee,Bill Andersen,republican,0.0
1988,Tennessee,Khalil-Ullah Al-Muhaymin,other,0.0
1988,Texas,Lloyd Bentsen,democrat,1.0
1988,Texas,Beau Boulter,republican,0.0
1988,Texas,Jeff Daiell,other,0.0
1988,Utah,Brian H. Moss,democrat,0.0
1988,Utah,Robert J. Smith,other,0.0
1988,Utah,Orrin G. Hatch,republican,1.0
1988,Utah,William M. Arth,other,0.0
1988,Vermont,Jerry Levy,other,0.0
1988,Vermont,King Milne,other,0.0
1988,Vermont,James M. Jeffords,republican,1.0
1988,Vermont,Bill Gray,democrat,0.0
1988,Virginia,Charles S. Robb,democrat,1.0
1988,Virginia,Maurice A. Dawkins,republican,0.0
1988,Washington,Slade Gorton,republican,1.0
1988,Washington,Mike Lowry,democrat,0.0
1988,West Virginia,Robert C. Byrd,democrat,1.0
1988,West Virginia,M. Jay Wolfe,republican,0.0
1988,Wisconsin,George W. Zaehringer,other,0.0
1988,Wisconsin,Arlyn F. Wollenburg,other,0.0
1988,Wisconsin,Herbert H. Kohl,democrat,1.0
1988,Wisconsin,Susan Engeleiter,republican,0.0
1988,Wisconsin,Patricia Grogan,other,0.0
1988,Wyoming,John P. Vinich,democrat,0.0
1988,Wyoming,Malcolm Wallop,republican,1.0
1990,Alabama,Howell Heflin,democrat,1.0
1990,Alabama,Bill Cabaniss,republican,0.0
1990,Alaska,Michael Beasley,democrat,0.0
1990,Alaska,Ted Stevens,republican,1.0
1990,Arkansas,David H. Pryor,democrat,1.0
1990,Colorado,Earl F. Dodge,other,0.0
1990,Colorado,John Heckman,other,0.0
1990,Colorado,Hank Brown,republican,1.0
1990,Colorado,Josie Heath,democrat,0.0
1990,Delaware,Joseph R. Biden Jr.,democrat,1.0
1990,Delaware,M. Jane Brady,republican,0.0
1990,Delaware,Lee Rosenbaum,other,0.0
1990,Georgia,Sam Nunn,democrat,1.0
1990,Hawaii,Ken Schoolland,other,0.0
1990,Hawaii,Patricia F. Saiki,republican,0.0
1990,Hawaii,Daniel K. Akaka,democrat,1.0
1990,Idaho,Ron J. Twilegar,democrat,0.0
1990,Idaho,Larry E. Craig,republican,1.0
1990,Illinois,Paul Simon,democrat,1.0
1990,Illinois,Lynn Martin,republican,0.0
1990,Indiana,Baron P. Hill,democrat,0.0
1990,Indiana,Dan Coats,republican,1.0
1990,Iowa,Tom Harkin,democrat,1.0
